text,timestamp,source,url,ticker,company_names
VIDEO: â€œI was in my office. I was minding my own business...â€ â€“David Solomon tells $GS interns how he learned he waâ€¦ https://t.co/QClAITywXV,Wed Jul 18 21:33:26 +0000 2018,GoldmanSachs,https://twitter.com/i/web/status/1019696670777503745,,
The price of lumber $LB_F is down 22% since hitting its YTD highs. The Macy's $M turnaround is still happening.â€¦ https://t.co/XnKsV4De39,Wed Jul 18 22:22:47 +0000 2018,StockTwits,https://twitter.com/i/web/status/1019709091038547968,,
Barry Silbert is extremely optimistic on bitcoin -- but predicts that 99% of new crypto entrants are â€œgoing to zeroâ€¦ https://t.co/mGMVo2cZgY,Wed Jul 18 22:52:52 +0000 2018,MarketWatch,https://twitter.com/i/web/status/1019716662587740160,,
Donâ€™t miss my convo with one of my favorite thinkers @SamHarrisOrg! https://t.co/uuPVxIobCh,Wed Jul 18 23:06:58 +0000 2018,ianbremmer,https://twitter.com/samharrisorg/status/1019719376348434433,,
Roger Federer's Uniqlo deal makes him one of the few athletes to earn more than $70M from endorsementsâ€¦ https://t.co/jQ8sOAyeBQ,Wed Jul 18 23:21:00 +0000 2018,Forbes,https://twitter.com/i/web/status/1019723744804245504,,
Customers urge boycott of MGM Resorts after the casino files lawsuits against mass shooting victimsâ€¦ https://t.co/dAhk87dPmA,Wed Jul 18 23:26:33 +0000 2018,business,https://twitter.com/i/web/status/1019725139905216512,,
"Trump tells CBS he's ""always wanted"" to be interviewed by Special Counsel Mueller but deflected questions on whetheâ€¦ https://t.co/at43BIGpDh",Thu Jul 19 00:04:22 +0000 2018,business,https://twitter.com/i/web/status/1019734658127400961,,
New time: Janet Yellen and I in conversation at Brookings on Feb. 27 at 2 PM EST. Join us online or on Facebook Livâ€¦ https://t.co/hDg7X5Rc5P,Fri Feb 23 18:50:19 +0000 2018,benbernanke,https://twitter.com/i/web/status/967109381098758144,,
INSIDE WK SCAN $AKAM $AMAT $AXP $BA $BLUE $BOX $BZUN $C $CAT $CMCSA $CSCO $DBX $DIS $DE $DOCU $DLTR $EBAY $FDXâ€¦ https://t.co/c1lAquqUfU,Mon Jul 09 01:46:42 +0000 2018,dgarciacharts,https://twitter.com/i/web/status/1016136529746382849,,
Buying in options land on Friday 7/6!  $QSR $IGT $SKX $VOYA $FCX $NVO $PXD $VIPS $VVV $SGMS $PII $ETFC $BLL $GPROâ€¦ https://t.co/zcyw6K1VTv,Mon Jul 09 02:44:19 +0000 2018,smartmoneyact,https://twitter.com/i/web/status/1016151031510716416,,
Weekly Recap: $HSY price moved 4.28% since post - next stop 98.50. Other trades included AA SPY BABA MDSO AYI FB SHâ€¦ https://t.co/uGd8Esohx8,Mon Jul 09 02:54:31 +0000 2018,aboutheoptions,https://twitter.com/i/web/status/1016153595522281472,,
